NAMES,SMILES,VALUE
C0190_A0008,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)F,197
C0190_A0071,CCCCCC[n+]1ccn(C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,290
C0190_A0031,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1,270
C0810_A0144,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([O-])c1ccc2c(c1)OCCOCCOCCOCCO2,250
C0290_A0033,CCCCCCCC[n+]1ccn(C)c1.[Cl-],243
C0290_A0020,CCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,360
C0290_A0144,CCCCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])c1ccc2c(c1)OCCOCCOCCOCCO2,248
C0290_A0011,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,376
C0515_A0056,CCCCCCCCCC[n+]1ccn(C)c1.N#C[N-]C#N,270
C0515_A0007,CCCCCCCCCC[n+]1ccn(C)c1.O=C1[N-]S(=O)(=O)c2ccccc21,251
C0515_A0030,CCCCCCCCCC[n+]1ccn(C)c1.Cc1ccc(S(=O)(=O)[O-])cc1,278
C0515_A0064,CCCCCCCCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,200
C0665_A0004,CCCCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],273
C0495_A0008,COC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)F,211
C0495_A0043,COC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)C(F)(F)F,274
C0852_A0020,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,380
C0852_A0048,Cn1cc[n+](CCO)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,420
C0852_A0011,Cn1cc[n+](CCO)c1.F[P-](F)(F)(F)(F)F,310
C0145_A0048,COC(=O)C[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,340
C1409_A0079,CC[C@@H](C)[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,280
C0082_A0069,C[n+]1ccn(CCO[Si](C)(C)C)c1.[I-],183
C0816_A0004,C[Si](C)(C)OCCn1cc[n+](CCF)c1.[Br-],210
C1030_A0069,C[Si](C)(C)OCCn1cc[n+](CCC(F)(F)F)c1.[I-],240
C0584_A0028,CC(C)CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,280
C0591_A0048,CCC(=O)C[n+]1ccn(CCC(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,228
C1354_A0033,C[C@@H](O)C[n+]1ccn(C)c1.[Cl-],300
C1354_A0048,C[C@@H](O)C[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,425
C1354_A0090,C[C@@H](O)C[n+]1ccn(C)c1.O=[N+]([O-])[O-],320
C1354_A0011,C[C@@H](O)C[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,325
C1523_A0033,CCCCn1cc[n+](C[C@@H](C)O)c1.[Cl-],250
C1352_A0048,Cn1cc[n+](C[C@@H](Br)CBr)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,268
C1352_A0011,Cn1cc[n+](C[C@@H](Br)CBr)c1.F[P-](F)(F)(F)(F)F,263
C1360_A0048,Cn1cc[n+](CC[C@@](F)(Br)C(F)(F)Br)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,284
