NAMES,SMILES,VALUE
C0076_A0020,CCCCCCCCCCCCOCn1cc[n+](COCCCCCCCCCCCC)c1.F[B-](F)(F)F,79
C0852_A0033,Cn1cc[n+](CCO)c1.[Cl-],61
C0852_A0011,Cn1cc[n+](CCO)c1.F[P-](F)(F)(F)(F)F,23
C0145_A0048,COC(=O)C[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-43
C0145_A0011,COC(=O)C[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,77
C0159_A0079,CCC(C)[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,43
C0584_A0028,CC(C)CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,40
C0082_A0069,C[n+]1ccn(CCO[Si](C)(C)C)c1.[I-],69
C0816_A0004,C[Si](C)(C)OCCn1cc[n+](CCF)c1.[Br-],126
C1030_A0069,C[Si](C)(C)OCCn1cc[n+](CCC(F)(F)F)c1.[I-],133
C0591_A0048,CCC(=O)C[n+]1ccn(CCC(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,128
C0448_A0020,C[n+]1ccn(CC#N)c1.F[B-](F)(F)F,35
C0448_A0011,C[n+]1ccn(CC#N)c1.F[P-](F)(F)(F)(F)F,78
C0197_A0033,C[n+]1ccn(CCC#N)c1.[Cl-],50
C0197_A0020,C[n+]1ccn(CCC#N)c1.F[B-](F)(F)F,20
C0197_A0011,C[n+]1ccn(CCC#N)c1.F[P-](F)(F)(F)(F)F,35
C0083_A0033,C[n+]1ccn(CCCC#N)c1.[Cl-],80
C0083_A0020,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,-72
C0083_A0029,CC(CC#N)[B-](F)(F)F.C[n+]1ccn(CCCC#N)c1,-77
C0083_A0011,C[n+]1ccn(CCCC#N)c1.F[P-](F)(F)(F)(F)F,75
C0196_A0033,C[n+]1ccn(CCCCC#N)c1.[Cl-],32
C0196_A0020,C[n+]1ccn(CCCCC#N)c1.F[B-](F)(F)F,-72
C0196_A0011,C[n+]1ccn(CCCCC#N)c1.F[P-](F)(F)(F)(F)F,-60
C0249_A0020,CCCC[NH+]1C=CN(CCP(=O)(OCC)OCC)C1.F[B-](F)(F)F,-81
C0249_A0011,CCCC[NH+]1C=CN(CCP(=O)(OCC)OCC)C1.F[P-](F)(F)(F)(F)F,-50
C0166_A0020,CCCC[NH+]1C=CN(CCCP(=O)(OCC)OCC)C1.F[B-](F)(F)F,-64
C0166_A0011,CCCC[NH+]1C=CN(CCCP(=O)(OCC)OCC)C1.F[P-](F)(F)(F)(F)F,-53
C0739_A0020,CCCCCC[NH+]1C=CN(CCP(=O)(OCC)OCC)C1.F[B-](F)(F)F,-83
C0739_A0011,CCCCCC[NH+]1C=CN(CCP(=O)(OCC)OCC)C1.F[P-](F)(F)(F)(F)F,-62
